X,Y,Type,Hote,Name,cluster
28.4796394,-81.46729461,Theme park,N,Universal Orlando Resort,2
28.44623078,-81.46694887,Aquarium,N,SEA LIFE Orlando Aquarium,2
28.37911137,-81.57113312,Theme park,N,Walt Disney World? Resort,2
28.57623482,-81.36670642,Museum,N,Orlando Science Center,1
28.65342831,-81.29123918,Park,N,Red Bug Lake Park,0
28.60366223,-81.35046022,Museum,N,The Charles Hosmer Morse Museum of American Art,1
28.58778555,-81.35913239,Botanical Garden,N,Mead Botanical Garden,1
28.58296175,-81.24430243,Park,N,Blanchard Park,0
28.5434662,-81.40280592,Stadium,N,Camping World Stadium,1
28.49759508,-81.3790919,Park,N,Cypress Grove Park,1
28.67801538,-81.45134227,Amusement park,N,Rebounderz Orlando - Indoor Trampoline and Adventure Park,1
28.5809759,-81.24468988,park,N,Blanchard Park,0
28.36223548,-81.59165721,Zoo,N,Disney's Animal Kingdom Theme Park,2
28.62922967,-81.36636144,Museums ,N,Art & History Museums of Maitland,1
28.57479867,-81.38803071,restaurant,N,China Hut College Park,1
28.60332821,-81.34994611,restaurant,N,Bosphorous Turkish Cuisine,1
28.59787307,-81.28532772,restaurant,N,Sushi Caf¨¦,0
28.55876957,-81.20848983,restaurant,N,Top Top Hot Pot Restaurant,0
28.5549587,-81.34758699,restaurant,N,Pho Vinh,1
28.62816731,-81.33421268,restaurant,N,China Master,1
28.6689867,-81.37378037,restaurant,N,Lin Garden,1
28.55280349,-81.47754259,restaurant,N,Crazy Buffet,1
28.53551959,-81.45828134,restaurant,N,EZ Crab Shack,1
28.44083623,-81.47085498,restaurant,N,Bahama Breeze,2
28.55579844,-81.33629519,restaurant,N,Peter's Kitchen China Bistro,1
28.55322952,-81.48522323,Hotel,Y,Holiday Inn Express & Suites Orlando-Ocoee East,1
28.48595893,-81.4560408,Hotel,Y,"Holiday Inn Express & Suites Nearest Universal Orlando, an IHG Hotel",2
28.46452477,-81.46453935,Hotel,Y,Universal¡¯s Endless Summer Resort ¨C Dockside Inn and Suites,2
28.39114837,-81.49265544,Hotel,Y,Hilton Grand Vacations Club Tuscany Village Orlando,2
28.45710565,-81.32992639,Hotel,Y,Cambria Hotel Orlando Airport,1
28.58992935,-81.20586433,Hotel,Y,Homewood Suites by Hilton Orlando-UCF Area,0
28.66844909,-81.38627727,Hotel,Y,Embassy Suites by Hilton Orlando North,1
28.67994137,-81.46689174,Hotel,Y,Hampton Inn & Suites Orlando-Apopka,1
28.74734305,-81.78119663,Hotel,Y,Mission Inn Resort & Club,1
28.5699029,-81.37338867,Hotel,Y,DoubleTree by Hilton Hotel Orlando Downtown,1
