X,Y,Type,Hotel,Name
33.74595948,-84.37206537,Recreational area,N,Zoo Atlanta
33.8078574,-84.37208178,Recreational area,N,Atlanta Botanical Garden
33.89510538,-84.51971055,Museum,N,Smyrna History Museum
33.96640605,-84.59922875,Recreational area,N,Kennesaw Mountain National Battlefield Park
33.96967113,-84.54629227,Museum,N,Marietta Fire Museum
33.78576232,-84.54969346,Activity,N,Six Flags Over Georgia
33.95513335,-84.55225874,Museum,N,Marietta History Center
33.89706209,-84.50939301,Activity,N,Fox Creek Golf Course & Driving Range
33.96548379,-84.50324798,Activity,N,Marietta Golf Center
33.94983242,-84.50322777,Bar,N,Rusty Barrel
33.94318202,-84.50766259,Bar,N,Applebee's Grill + Bar
33.97614591,-84.4888999,Bar,N,Mazzy's Sports Bar & Grill
33.95474296,-84.54947858,Bar,N,Johnnie MacCracken's Celtic Firehouse Pub
33.76539664,-84.39174231,Point of interest,N,World of Coca-Cola
33.77097835,-84.39634544,Point of interest,N,Georgia Aquarium
33.79336091,-84.42777139,Restaurant,N, Twisted Soul Cookhouse & Pours
33.79221963,-84.38382608,Restaurant,N,South City Kitchen Midtown
33.87471485,-84.38208608,Restaurant,N,Buttermilk Kitchen
33.78957081,-84.35356554,Restaurant,N,Highland Tap
33.76241615,-84.40412048,Restaurant,N,Restaurant 10
33.75463114,-84.37100468,Restaurant,N,Six Feet Under Pub & Fish House
33.76174173,-84.39161551,Point of interest,N,SkyView Atlanta
33.76516674,-84.39127219,Museum,N,Children's Museum of Atlanta
33.75703211,-84.3627764,Point of interest,N,Krog Street Tunnel
34.06244495,-84.12177758,Point of interest,N,Netherworld Haunted House
33.98037811,-84.3821587,Recreational area,N,Morgan Falls Overlook Park
33.95670978,-84.59198398,Museum,N,The Youth Museum
33.93961577,-84.53591502,Museum,N,The Aviation History & Technology Center
33.79452056,-84.31210613,Museum,N,Fernbank Science Center
33.80087478,-84.38491593,Museum,N,High Museum of Art
33.90247649,-84.45885423,Recreational area,N,Bob Callan Trailhead
33.85209842,-84.51835531,Recreational area,N,Silver Comet Trail
33.89884564,-84.33090109,Recreational area,N,Silver Lake Trail Trailhead
33.79323608,-84.38618351,Hotel,Y,Residence Inn by Marriott Atlanta
33.79203684,-84.38877582,Hotel,Y,Artmore Hotel
33.77213441,-84.38835871,Hotel,Y,Crowne Plaza Atlanta
33.7621716,-84.38739443,Hotel,Y,The Westin Peachtree Plaza
33.81495319,-84.56889153,Hotel,Y,Americas Best Value Inn & Suites Mableton Atlanta
33.78128754,-84.36701775,Hotel,Y,Hotel Clermont Atlanta
33.7553191,-84.39882685,Hotel,Y,Reverb by Hard Rock Downtown Atlanta
33.73615452,-84.39084874,Hotel,Y,Country Inn & Suites by Radisson
33.77484781,-84.3840895,Hotel,Y,The Georgian Terrace
33.76100432,-84.38315111,Hotel,Y,Sheraton Atlanta Hotel
